,Date,Price
352,2015-12-19,226.5
353,2015-12-20,226.5
354,2015-12-21,230.45
355,2015-12-22,228.35
356,2015-12-23,229.65
357,2015-12-24,228.3
358,2015-12-25,228.3
359,2015-12-26,228.3
360,2015-12-27,228.3
361,2015-12-28,228.9
362,2015-12-29,228.2
363,2015-12-30,225.8
364,2015-12-31,224.45
365,2016-01-01,227.8
366,2016-01-02,227.8
367,2016-01-03,227.8
368,2016-01-04,220.7
369,2016-01-05,217.75
370,2016-01-06,216.85
371,2016-01-07,209.55
372,2016-01-08,208.95
373,2016-01-09,208.95
374,2016-01-10,208.95
375,2016-01-11,204.3
376,2016-01-12,199.4
377,2016-01-13,200.9
378,2016-01-14,196.05
379,2016-01-15,184.3
380,2016-01-16,184.3
381,2016-01-17,184.3
382,2016-01-18,181.0
383,2016-01-19,182.95
384,2016-01-20,173.65
385,2016-01-21,175.6
386,2016-01-22,184.6
387,2016-01-23,184.6
388,2016-01-24,184.6
389,2016-01-25,182.95
390,2016-01-26,182.95
391,2016-01-27,184.4
392,2016-01-28,185.25
393,2016-01-29,179.9
394,2016-01-30,179.9
395,2016-01-31,179.9
396,2016-02-01,172.75
397,2016-02-02,169.4
398,2016-02-03,166.05
399,2016-02-04,162.85
400,2016-02-05,168.2
401,2016-02-06,168.2
402,2016-02-07,168.2
403,2016-02-08,172.15
404,2016-02-09,167.05
405,2016-02-10,159.0
406,2016-02-11,154.25
407,2016-02-12,154.8
408,2016-02-13,154.8
409,2016-02-14,154.8
410,2016-02-15,167.85
411,2016-02-16,156.4
412,2016-02-17,158.95
413,2016-02-18,159.8
414,2016-02-19,164.7
415,2016-02-20,164.7
416,2016-02-21,164.7
417,2016-02-22,164.95
418,2016-02-23,158.5
419,2016-02-24,156.3
420,2016-02-25,151.8
421,2016-02-26,155.9
422,2016-02-27,155.9
423,2016-02-28,155.9
424,2016-02-29,158.75
425,2016-03-01,162.05
426,2016-03-02,181.15
427,2016-03-03,182.75
428,2016-03-04,188.4
429,2016-03-05,188.4
430,2016-03-06,188.4
431,2016-03-07,188.4
432,2016-03-08,183.35
433,2016-03-09,183.4
434,2016-03-10,180.5
435,2016-03-11,180.1
436,2016-03-12,180.1
437,2016-03-13,180.1
438,2016-03-14,181.75
439,2016-03-15,185.3
440,2016-03-16,185.2
441,2016-03-17,186.35
442,2016-03-18,191.25
443,2016-03-19,191.25
444,2016-03-20,191.25
445,2016-03-21,196.8
446,2016-03-22,197.5
447,2016-03-23,196.6
448,2016-03-24,196.6
449,2016-03-25,196.6
450,2016-03-26,196.6
451,2016-03-27,196.6
452,2016-03-28,188.3
